month,mean_water_level,mean_inflow,mean_outflow,mean_storage_pct
1,288.4078538783072,94.90432202536185,78.74528623350182,90.80569317198118
2,287.333068266314,58.40882892564758,67.02582545056738,87.27343050540179
3,283.3663937714241,55.93207003009011,59.860371585261724,80.01298617107885
4,278.8939055029753,52.32177454015272,56.85001993691824,72.26258942700358
5,284.1935270596398,58.88023509574706,68.56431979199532,65.75905792389605
6,277.98110075471715,77.13774461598116,92.18228701391725,59.19960417098226
7,273.1462681842503,93.16166036133008,85.95372281429013,51.383104015203905
8,273.45949357740244,110.52374333067455,114.98144412279947,48.81663347008166
9,272.9288024016541,133.82369816483896,131.55787267196655,49.17115447005492
10,278.6025601724565,170.33313888810073,184.9323949382438,59.4086506406503
11,278.02246084070356,184.09687954633938,174.06047239427934,76.15894582911183
12,284.6098367520416,132.92430972108528,104.96215237564734,88.15747299730477
